external_id,name,area,category,address,lat,lng,manual_score,tags,time_slots,place_url,is_active
15790820,동보성,hongdae,restaurant,서울 마포구 양화로19길 16,37.5582657352957,126.92416194515,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/15790820,true
1200972140,서울소사이어티클럽,hongdae,restaurant,서울 마포구 양화로 177-1,37.5579849865248,126.924728115543,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1200972140,true
16994922,뽀르뚜아,hongdae,restaurant,서울 마포구 동교로 201,37.5581892926461,126.922989503934,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/16994922,true
1773725698,중경식객 홍대점,hongdae,restaurant,서울 마포구 홍익로6길 46,37.5560942906102,126.924097372948,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1773725698,true
1212542828,올바른스시 홍대역직영점,hongdae,restaurant,서울 마포구 동교로 199-1,37.5581243278056,126.922846967294,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1212542828,true
398739548,이가 산시도삭면,hongdae,restaurant,서울 마포구 홍익로6길 46,37.5560924849789,126.924091716064,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/398739548,true
37052170,더블플레이치킨 동교동본점,hongdae,restaurant,서울 마포구 동교로 201,37.55820279873313,126.92297590873416,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/37052170,true
183124871,와플대학 홍대캠퍼스,hongdae,restaurant,서울 마포구 양화로 176,37.55728338217618,126.92515662698969,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/183124871,true
1805571619,우동가조쿠 홍대점,hongdae,restaurant,서울 마포구 양화로19길 18,37.5583269565044,126.924089449381,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1805571619,true
1317985245,마라공간마라탕 홍대점,hongdae,restaurant,서울 마포구 어울마당로 131-1,37.5562179891013,126.924505807423,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1317985245,true
1550433128,아트몬스터 홍대점,hongdae,restaurant,서울 마포구 어울마당로 131,37.5561647629489,126.92440060891,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/1550433128,true
132754911,보승회관 홍대직영점,hongdae,restaurant,서울 마포구 어울마당로 131,37.5561647622243,126.924399477166,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/132754911,true
532253589,무쏘 홍대입구역점,hongdae,restaurant,서울 마포구 어울마당로 131,37.5561647622243,126.924399477166,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/532253589,true
995685331,몽달,hongdae,restaurant,서울 마포구 월드컵북로2길 31,37.5567472697464,126.922336834739,50,{식사},"{lunch,dinner}",http://place.map.kakao.com/995685331,true
22105109,스타벅스 홍대역점,hongdae,cafe,서울 마포구 양화로 165,37.5572887166274,126.923637798148,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/22105109,true
26532091,투썸플레이스 홍대입구역점,hongdae,cafe,서울 마포구 월드컵북로2길 57,37.557439953584975,126.92343618991804,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/26532091,true
830528731,카페인오초,hongdae,cafe,서울 마포구 월드컵북로2길 57,37.5574939678539,126.923365965267,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/830528731,true
591357129,청년문화공간동교동,hongdae,cafe,서울 마포구 월드컵북로2길 49,37.55721173655186,126.92302898981784,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/591357129,true
1844967189,공차 홍대입구역점,hongdae,cafe,서울 마포구 양화로 166,37.556827757912146,126.9241837740643,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1844967189,true
1485627824,스타벅스 홍대역8번출구점,hongdae,cafe,서울 마포구 양화로 166,37.5567448560452,126.924168013515,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1485627824,true
23634722,1984,hongdae,cafe,서울 마포구 동교로 194,37.5573639089622,126.922881704192,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/23634722,true
1482644032,할리스 홍대역2번출구점,hongdae,cafe,서울 마포구 동교로 200,37.5577605038959,126.923121230348,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1482644032,true
